,SalePrice
889,337500.0
873,293077.0
1177,140000.0
162,135000.0
1521,63900.0
1465,137000.0
1102,198900.0
561,153000.0
649,156500.0
1550,145000.0
256,119600.0
1501,51689.0
440,179600.0
620,165000.0
637,188700.0
1904,160000.0
973,162000.0
1103,129400.0
1270,129000.0
20,87000.0
1974,260000.0
2064,146000.0
1159,100000.0
381,129000.0
1457,133900.0
1642,192000.0
841,263435.0
634,263000.0
1397,129500.0
83,362500.0
461,220000.0
1401,195500.0
1424,230000.0
857,157500.0
1192,375000.0
1342,291000.0
1117,109900.0
485,248500.0
374,99500.0
270,324000.0
1281,155000.0
693,187100.0
1918,64500.0
464,500067.0
1931,217000.0
1935,98500.0
1601,185000.0
429,85000.0
1461,103000.0
25,387000.0
904,154300.0
1489,185101.0
458,226700.0
1121,85500.0
679,237000.0
78,234000.0
366,591587.0
1490,180000.0
32,279000.0
596,211500.0
1255,201000.0
1017,150000.0
1906,173500.0
1254,140000.0
435,210000.0
859,153900.0
1547,183500.0
163,260000.0
203,170000.0
915,118400.0
1766,139500.0
601,175000.0
2126,130000.0
305,140750.0
209,136000.0
798,131000.0
1422,237000.0
2177,123000.0
727,130000.0
605,221300.0
1619,119900.0
2004,114000.0
2160,223500.0
483,169000.0
1111,154500.0
869,145250.0
588,52000.0
985,224500.0
1560,222500.0
411,165250.0
1770,233230.0
1334,136000.0
831,145000.0
2161,256000.0
1793,114000.0
1189,164000.0
1164,168000.0
447,158000.0
715,128000.0
1018,160000.0
755,130000.0
1559,190000.0
807,120000.0
45,257000.0
1837,107000.0
1269,81000.0
294,141500.0
759,250000.0
1674,225000.0
978,163000.0
2016,204000.0
1947,136900.0
436,95000.0
949,233500.0
393,177000.0
2097,421250.0
534,167000.0
30,755000.0
2116,66500.0
1330,89500.0
926,336860.0
1137,170000.0
2098,315000.0
2045,105000.0
602,149900.0
344,197500.0
556,301500.0
1849,106000.0
352,193000.0
91,61500.0
836,188000.0
1963,93000.0
1817,250580.0
771,136500.0
261,174500.0
1405,200000.0
1352,249700.0
585,34900.0
567,424870.0
1857,147000.0
879,118500.0
694,325000.0
674,140000.0
1413,197900.0
300,137000.0
599,146500.0
986,398800.0
315,194000.0
1610,212500.0
453,80500.0
175,257500.0
1775,154000.0
1040,272500.0
2168,214900.0
123,174000.0
630,419005.0
394,110000.0
900,207000.0
1442,290000.0
39,76000.0
462,73000.0
1533,320000.0
1838,132000.0
331,256000.0
194,156932.0
2089,151000.0
322,169500.0
266,318000.0
1692,175000.0
579,199500.0
1165,172500.0
1347,197000.0
1041,337000.0
1671,132500.0
965,137500.0
1798,230000.0
1131,127000.0
2017,290000.0
2119,193000.0
1089,184900.0
572,120000.0
1809,229800.0
1865,285000.0
1221,117000.0
1435,584500.0
1551,139500.0
1713,71000.0
1572,83000.0
892,128000.0
2174,91000.0
2172,235128.0
1847,369900.0
1374,104500.0
365,184000.0
1739,115000.0
1210,94500.0
1421,140000.0
1050,198500.0
583,136905.0
1437,125500.0
2053,200000.0
1314,173000.0
1057,265000.0
1602,175000.0
810,79000.0
1178,108000.0
1085,181000.0
318,210250.0
1304,297000.0
1641,185000.0
772,226500.0
806,116000.0
1182,115000.0
343,275500.0
398,139000.0
584,111250.0
2120,140000.0
292,145000.0
856,124000.0
1100,201000.0
1157,149900.0
141,160000.0
1001,266500.0
2,137500.0
576,151000.0
2080,156000.0
339,190000.0
2075,170000.0
265,128000.0
376,229000.0
1708,137000.0
439,148000.0
271,135000.0
244,280000.0
1676,166000.0
1588,165000.0
2123,84900.0
1258,87550.0
607,271000.0
415,140000.0
273,129500.0
1068,185900.0
250,240000.0
413,140000.0
1290,205000.0
1543,141000.0
310,183500.0
780,133000.0
764,275000.0
425,132250.0
2131,112500.0
2035,176000.0
1920,205000.0
1598,152000.0
962,135000.0
1538,178900.0
752,250000.0
526,235500.0
994,178750.0
1009,179900.0
182,125600.0
170,149000.0
767,190000.0
