Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
1999-2000,All,2-19,All,Calcium,919.7,24.1,967.2,872.2,,,,
1999-2000,All,2-19,Non-Hispanic White,Calcium,999.2,34.3,"1,067.0",931.5,,,,
1999-2000,All,2-19,Non-Hispanic Black,Calcium,751.5,30.6,812.0,691.0,,,,
1999-2000,All,2-19,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Mexican American,Calcium,830.8,23.8,877.9,783.7,,,,
1999-2000,All,2-5,All,Calcium,821.3,38.2,745.9,896.7,,,,
1999-2000,All,6-11,All,Calcium,894.1,32.1,830.8,957.5,,,,
1999-2000,All,12-19,All,Calcium,919.7,24.1,872.2,967.2,,,,
1999-2000,All,20 and over,All,Calcium,843.2,15.6,873.9,812.4,,,,
1999-2000,All,20 and over,Non-Hispanic White,Calcium,898.1,24.6,946.8,849.4,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Calcium,645.5,22.8,690.5,600.4,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Calcium,784.9,25.2,834.7,735.1,,,,
1999-2000,All,20-29,All,Calcium,914.7,24.3,866.8,962.6,,,,
1999-2000,All,30-39,All,Calcium,885.0,32.2,821.3,948.7,,,,
1999-2000,All,40-49,All,Calcium,872.4,39.3,794.7,950.0,,,,
1999-2000,All,50-59,All,Calcium,816.8,34.9,747.9,885.6,,,,
1999-2000,All,60-69,All,Calcium,715.9,22.9,670.6,761.2,,,,
1999-2000,All,70 and over,All,Calcium,738.8,24.2,691.0,786.5,,,,
1999-2000,Female,2-19,All,Calcium,781.7,20.5,822.2,741.2,,,,
1999-2000,Female,2-5,All,Calcium,742.0,32.2,678.4,805.6,,,,
1999-2000,Female,6-11,All,Calcium,878.2,45.5,788.3,968.1,,,,
1999-2000,Female,12-19,All,Calcium,781.7,20.5,741.2,822.2,,,,
1999-2000,Female,20 and over,All,Calcium,738.5,20.6,779.2,697.7,,,,
1999-2000,Female,20-29,All,Calcium,821.4,47.4,727.7,915.1,,,,
