,income_bin
24764,0
9890,1
2754,0
5298,0
2593,1
10330,0
1929,0
23843,0
5866,0
23808,0
8148,0
28835,0
21835,0
31201,0
28466,0
14970,0
5000,1
14246,0
26340,0
14596,1
25105,0
9918,0
25768,0
21350,0
11780,1
15750,0
5466,0
21391,0
725,1
5845,0
18814,1
8027,0
24812,0
16451,0
8250,0
2162,0
30807,1
25291,0
18107,0
11853,1
28194,0
7779,0
4487,0
14840,0
7803,0
26962,0
1639,1
23521,0
5921,0
14740,0
21106,0
7001,0
6485,1
28092,0
25461,0
21380,0
3900,1
7427,0
19916,0
8011,0
16195,0
5404,0
3077,1
30585,1
13140,0
18169,0
1938,1
17662,0
4634,0
5461,0
23710,0
18954,0
21149,0
8754,0
25624,0
10086,0
24558,0
26485,0
13024,0
26211,0
13010,1
17149,0
13991,1
3654,1
9376,0
12600,1
19220,0
26288,0
11189,1
26820,0
8345,0
21832,0
6294,0
5115,0
21545,0
16499,0
18664,0
8343,0
29780,1
30734,1
22194,1
10443,0
26297,1
16707,0
23133,0
26433,0
13197,1
25451,0
2463,0
29696,1
25748,0
14357,0
31096,1
1666,1
14115,0
11184,1
1393,0
29442,0
25529,0
25977,0
3885,0
15288,0
4182,1
14393,0
25557,0
2001,0
24799,0
30808,0
8564,0
28187,0
8387,0
18507,0
13569,0
20178,0
28241,0
13765,0
22252,1
25439,1
27510,0
8794,0
19872,0
12419,0
11808,0
28334,0
14725,1
16337,1
32157,0
22296,0
32454,0
10571,0
12028,0
5926,0
12982,1
18161,0
15549,0
12671,0
4381,1
4482,0
3126,0
26692,0
30064,0
11781,1
28633,0
19520,0
12709,1
13191,0
22109,0
25049,0
9518,0
22966,0
19161,0
24728,0
23881,0
17724,0
22900,0
21378,0
16377,0
32294,0
20190,0
31808,0
11609,0
577,0
11000,0
4271,1
3753,0
16818,1
16091,0
26676,0
15360,0
3638,0
31319,0
16085,0
8551,0
24757,0
31097,1
1282,1
28797,0
31271,1
16411,0
13693,0
11245,1
13885,0
21208,0
14253,1
5171,0
12334,0
31501,0
4772,1
8408,0
25910,0
7979,1
11259,0
9416,1
11565,0
13023,0
8364,0
12839,1
21028,0
20230,0
526,1
1069,0
22298,0
11734,0
2489,0
13760,0
24738,1
25918,0
2793,0
29983,1
10815,1
15814,0
13454,0
18451,0
29560,1
519,1
27332,1
3980,1
7028,0
13182,0
7178,0
29275,0
6492,1
16351,0
2653,0
30420,1
5384,0
32225,0
29232,0
15677,0
28592,0
5167,1
5028,0
11419,1
30859,0
22695,0
23980,0
8157,1
3653,0
8850,0
23557,0
4862,1
26262,0
31111,1
6502,0
26060,1
460,0
14222,0
15802,0
4581,0
12816,0
3918,0
2743,0
30195,0
13714,1
25660,1
2923,0
23070,0
14438,1
15509,0
29297,0
17220,0
24561,0
12426,0
7781,0
957,0
32245,1
11903,0
10423,0
10268,1
22273,0
15269,0
17470,0
11557,0
9936,0
14799,0
26724,0
10824,0
5830,0
11328,0
28273,0
6263,0
6212,1
13368,0
25101,0
19221,0
23130,0
30898,0
25302,1
18116,0
10778,0
29378,0
4915,0
5584,1
26842,0
9948,0
26193,1
12371,0
29622,1
3942,0
29354,0
5804,0
19179,0
11315,0
26938,1
32554,1
17582,0
16611,0
15897,0
27930,0
22934,0
14794,0
24573,0
28584,0
24578,0
5611,1
26388,0
7548,0
7956,0
32146,0
14084,0
5295,0
26749,0
30223,0
2987,0
11489,0
24940,1
4536,0
13102,0
4899,0
25236,1
5056,0
23661,1
11592,0
27092,0
23219,0
19905,0
61,0
3399,0
18766,0
28884,0
31054,1
24711,0
21372,0
20448,0
21664,0
4921,0
21031,0
31465,0
30257,0
31035,0
7967,0
5249,0
8410,0
23050,0
17011,0
17158,0
21587,1
911,0
9877,1
16906,1
17658,0
26059,0
9804,0
12648,0
24408,0
1071,1
7780,0
18773,1
13086,0
3578,1
12957,0
8118,0
8244,0
32089,0
20176,0
13226,0
25459,0
14533,1
7705,0
28722,0
2427,0
9394,0
4447,0
2108,0
16802,0
31325,0
29698,0
473,0
5666,1
910,0
10136,1
30658,0
25484,0
42,0
8930,0
19109,0
21879,0
21415,0
32007,0
17017,1
15937,0
30407,0
27013,0
26822,1
6059,0
17471,0
15090,0
25958,0
13821,0
27294,1
25240,0
6262,0
17122,1
19939,0
8491,0
12380,0
8897,1
2875,0
8708,0
4078,0
24320,1
30640,0
1856,0
24008,1
598,0
25590,0
32300,0
31925,0
29843,1
15654,1
15215,0
5917,1
9197,1
8162,0
21948,0
7197,0
30645,1
16419,0
16360,0
28154,0
11505,0
2647,0
4162,0
158,0
5309,1
1854,0
12475,0
12771,0
28385,0
22215,0
4527,0
2895,0
6157,0
4703,0
13974,0
31576,1
29408,0
16400,0
19547,0
30781,0
15925,0
28171,0
20588,0
14399,0
28470,1
9473,0
20492,0
30287,0
28894,0
19323,1
20088,1
1603,1
13474,0
15651,1
26135,0
13686,0
22307,0
26026,0
10142,0
21398,1
7240,0
7451,0
644,0
24102,0
16946,1
13565,0
11982,0
29209,0
12412,1
17494,0
8083,0
945,0
12363,1
8272,0
23653,0
30917,0
2119,0
26151,1
603,0
21590,1
5677,0
15128,0
10846,0
20646,0
28333,0
13510,1
29963,0
15865,0
9146,1
26934,1
32141,0
2295,0
2834,0
1402,0
28276,0
21486,0
664,0
27427,1
11396,0
17545,0
26707,1
28271,0
10031,0
22621,0
24214,0
27201,0
5203,0
3193,0
28799,1
5044,1
20052,1
19281,1
9184,1
20965,0
19211,0
17081,0
5444,0
4781,0
1349,0
4424,0
21940,0
30901,1
404,0
2767,1
10707,0
3087,0
5814,0
28237,0
11221,0
20345,0
21838,0
1600,0
8055,1
1231,0
5784,0
24314,0
15780,0
10139,0
10917,0
28740,1
20261,0
7960,0
32330,0
21761,0
31124,0
2365,0
16187,0
10981,0
12885,0
16709,0
19165,0
32362,0
17617,0
12925,0
6685,0
19398,0
32194,0
3090,0
5376,0
26838,0
20485,0
8851,0
16987,1
3243,0
267,1
30447,0
24513,0
17330,1
29763,1
4642,0
17225,0
24662,1
15039,0
22017,1
28772,0
30736,1
19936,0
29529,0
18832,0
30665,1
938,0
18570,0
1691,0
29897,0
1705,0
13957,0
22344,0
25370,0
4208,1
15354,0
11273,0
25082,1
29514,0
25665,0
6706,0
28238,0
12855,0
12036,0
15122,0
23592,1
1809,0
20906,1
3839,0
17082,0
32113,0
14718,0
31889,0
16636,0
27312,0
20985,0
26698,0
11901,0
26824,0
17455,0
14004,1
22772,0
5260,0
20582,0
29885,0
6748,0
21371,0
15226,0
18493,1
19963,0
20716,0
20150,0
3788,1
14418,0
18434,0
14295,0
6248,0
18908,0
30993,0
3981,0
30323,0
28615,0
27537,0
28137,0
17175,0
25009,0
16051,0
16724,0
29665,0
30011,1
20281,0
15213,0
31618,1
4188,0
12162,1
2685,0
15281,0
16276,0
29469,0
25991,1
26392,0
8179,0
21290,0
24136,1
7924,0
15574,0
19874,0
15868,0
11173,0
1475,0
19217,0
8124,1
15416,0
24460,0
25995,1
26166,0
28440,0
24656,0
3539,1
30659,0
23038,0
29021,0
6304,1
1051,1
5915,0
17419,0
12663,0
30791,0
28827,0
15293,0
15889,0
5699,0
8570,0
19182,1
4267,1
16688,0
1289,0
23869,0
20545,1
19200,0
14549,0
31417,1
14589,0
11819,0
8582,0
31777,0
8346,0
18875,0
1323,1
26898,0
17699,0
16478,0
19666,0
26579,0
7593,0
24450,1
18125,0
20899,0
6576,1
17563,1
13759,0
27696,0
14334,0
3172,0
14233,0
27700,0
14554,1
4683,0
3513,1
31351,0
18821,0
30102,0
15470,1
20210,1
14700,0
18287,1
14942,1
1946,0
12944,0
17184,0
6707,0
8318,0
17127,0
18959,0
23797,0
6357,0
10351,0
7397,0
20580,0
2775,1
4467,0
16497,0
24810,1
13588,0
20346,1
21779,1
30552,0
19606,0
3262,1
16519,0
25326,0
11226,1
10225,0
19613,0
15067,0
4828,0
11506,0
6635,0
17301,0
24151,0
10685,0
4475,1
19433,0
31479,0
3610,0
7571,1
3261,0
27625,0
12857,0
1538,0
4749,0
25361,0
20086,0
25902,0
14544,0
14207,1
23053,0
25574,0
23203,0
16124,0
14026,0
14834,0
30452,0
7913,0
4497,0
5406,1
7021,1
21561,0
17746,0
16900,0
16469,0
17039,0
25408,0
29713,0
27871,0
20068,0
19465,0
19642,0
25413,0
27855,1
2133,0
1055,0
8910,1
7150,0
9036,0
11071,1
18308,0
13692,0
5212,0
16450,0
16824,0
11810,0
24499,0
13703,0
5096,0
24147,1
1204,0
6083,0
1569,0
18878,1
12324,1
4161,0
3481,0
21724,1
5675,0
1315,0
19733,1
15421,0
13564,0
7545,0
28850,1
11708,0
1277,1
15310,0
10691,1
1286,1
31911,1
24332,0
5166,1
712,0
12538,0
1036,0
6812,0
15841,0
29814,0
4988,1
22124,0
909,0
21698,0
4216,0
9131,1
565,0
2360,0
29393,0
24210,0
3493,1
15200,0
1499,0
10866,1
26564,0
7350,0
22232,0
17226,1
1361,1
3626,0
24456,1
2377,1
9700,0
30646,0
21002,0
30534,0
1557,0
30051,0
25495,0
26726,1
30207,0
18274,1
28055,0
23302,0
20461,0
15202,0
1894,0
12292,0
15425,1
12047,0
15150,0
29359,0
12290,0
27809,0
19708,0
20005,1
31648,1
19311,0
462,0
11998,0
20581,0
21051,0
31920,0
31767,0
5169,1
27443,0
422,1
23983,1
31809,1
5442,0
9264,0
4604,0
16202,0
13097,0
31563,0
27284,0
27513,0
4268,0
19974,0
1977,0
18312,0
31892,0
20703,0
10699,0
27178,0
2790,0
14054,0
10233,0
6679,0
5336,0
2671,0
3246,0
13217,0
18313,0
29557,0
13929,0
18603,0
12812,0
23708,1
10653,0
3862,1
13670,0
1190,0
23028,1
742,1
18061,0
2022,0
11112,0
27307,0
4582,0
15402,0
24467,0
15443,0
7157,0
32372,1
32323,0
10281,0
506,0
18202,0
28693,0
17147,0
16738,0
17348,0
21595,0
3319,0
14779,1
25698,1
29520,0
10041,1
23999,1
30202,0
10601,0
23399,0
147,0
20250,0
14793,1
7823,0
24196,1
23995,1
13274,1
2381,0
4136,0
30112,0
12641,0
8583,0
2006,0
26888,0
3663,1
15162,0
23246,0
24953,0
10187,0
32531,0
385,0
15185,0
29642,1
21506,0
28251,0
19767,0
5156,0
20583,0
3466,1
15419,0
8975,1
13934,0
14991,1
22843,0
4494,0
9322,0
23919,1
19229,0
2932,0
8121,1
6215,0
24384,1
21060,0
5698,0
23482,0
5441,0
18975,0
13307,0
25006,1
22014,0
7714,1
24211,0
15439,0
22523,0
6633,1
8212,0
22303,0
27771,1
12238,0
28891,0
28868,1
20509,0
24686,0
582,0
1350,1
6003,0
29231,0
24720,0
7398,0
24032,0
7045,0
15085,1
4042,1
17664,0
12619,0
13604,0
4308,0
10279,0
21456,1
3543,1
12945,1
29975,0
3488,0
20315,0
6109,0
9911,0
29339,0
13376,0
28306,0
27882,0
48,0
22747,0
5333,0
24601,1
8107,0
7918,0
18742,0
23196,1
16614,0
23495,0
21705,1
12180,0
28308,1
14866,1
1559,0
27879,0
1453,1
1380,0
13944,1
31628,1
15744,1
5986,0
20319,0
22914,0
10446,1
30065,0
3799,0
1309,1
12800,1
11952,1
4792,0
27008,0
27038,0
26528,0
192,0
20887,0
18794,0
18925,0
17325,0
27118,1
14074,0
18074,1
7933,0
23263,0
11435,1
12452,1
21655,0
31378,0
29144,1
5838,0
13971,0
21921,0
28316,0
3501,0
1722,1
7135,0
30145,0
31818,0
1474,0
3483,0
20943,0
10106,0
24474,0
775,0
15239,1
31988,0
29114,0
27551,0
4660,0
19231,0
25402,0
14954,0
8439,0
15966,1
409,0
12965,0
16485,0
29648,0
22851,0
11649,0
30651,1
21485,0
22220,0
14210,1
26906,1
9447,0
12749,0
28657,0
13327,0
20362,1
4407,1
24479,0
14474,1
12967,0
27784,0
13867,0
5897,0
6598,1
3202,0
29735,0
23582,1
6916,0
4709,1
14609,1
29839,1
16813,0
26176,0
26734,0
19318,0
7501,0
19495,0
13425,0
22565,0
9338,0
4489,0
13877,0
11583,0
23730,0
2700,0
19866,1
19838,0
16767,0
19439,0
32459,0
20799,1
3341,0
11854,0
14491,1
15667,0
4829,0
22147,0
26099,0
4344,1
7840,1
32016,1
31338,1
22994,0
18120,0
10667,1
16698,0
17075,0
1608,0
4000,0
18672,0
12862,0
13117,0
12761,0
23683,0
14527,0
1725,0
20678,0
6585,0
9975,0
15945,0
10291,1
26576,1
27414,0
25318,0
18732,0
14635,0
30871,0
11152,1
19978,0
21469,0
17056,0
10450,0
11509,0
24496,0
1846,0
16139,1
4919,0
20120,1
4600,1
16537,0
12837,1
22521,1
17968,1
7334,0
18912,0
4517,0
25039,1
27868,0
2080,0
5868,0
5243,0
24990,0
1613,1
15832,1
29694,0
16720,0
10011,0
27114,0
21620,0
10955,0
24182,0
18606,0
2013,0
23092,0
5893,0
14651,0
340,0
9716,0
20984,1
24276,0
11706,1
20040,0
30374,0
14145,1
1042,0
27070,0
27631,0
8453,0
9341,0
29078,0
6805,0
12152,1
26562,0
4466,1
6568,0
25406,0
28605,0
9572,0
17335,1
3283,0
14338,0
17498,1
9787,0
14578,0
17751,0
8868,0
5164,1
28160,1
2243,1
4485,0
19126,0
20361,0
10389,1
31489,1
20089,1
21614,1
25202,0
9528,0
29606,0
31335,1
27169,1
32093,0
2715,0
3013,1
7033,1
2090,1
12193,0
27490,1
15018,1
9590,0
5407,1
23923,0
18176,0
8880,1
5210,0
21291,1
4384,0
31533,1
9550,0
5487,1
28638,0
23085,0
1356,0
27725,0
27515,0
28611,0
2478,0
24420,0
30041,0
23508,0
8498,0
19375,0
556,0
9316,0
13671,0
21592,0
25290,1
8471,1
19750,0
7584,0
4793,1
18813,0
24809,0
16726,0
7625,0
22400,0
19878,0
27425,0
13820,0
21865,0
31758,0
5945,0
27150,1
11476,0
30419,0
6787,1
4557,0
7657,1
17174,0
22915,0
2607,1
28728,1
2841,0
24045,0
89,1
25669,0
20761,1
4516,0
9780,1
14416,0
5722,0
10512,1
24927,0
761,1
10757,1
21685,0
6570,0
27498,0
23060,0
14941,0
26517,0
21812,0
15332,0
8997,0
31836,0
20900,1
7276,0
26905,1
