,0
276,0
509,1
183,1
658,0
292,1
633,1
259,1
229,0
484,1
283,1
630,1
93,1
20,0
140,1
28,0
128,0
159,1
24,1
343,1
294,1
189,0
308,0
223,1
84,1
21,0
106,1
214,0
123,0
603,0
355,1
57,0
532,1
559,1
402,1
299,1
412,0
121,1
386,0
69,1
676,0
624,1
104,1
281,1
417,1
444,1
108,0
280,1
198,0
267,1
6,1
489,1
258,1
83,1
17,0
520,1
18,1
200,0
11,1
91,1
582,0
254,0
393,0
85,1
47,1
406,1
666,1
512,1
672,0
72,1
654,1
656,1
206,1
674,0
58,1
440,1
449,0
102,1
322,1
460,1
631,1
134,1
369,1
446,1
486,1
79,0
82,0
119,1
3,0
556,0
126,0
491,1
238,1
97,1
245,0
335,1
619,1
250,1
422,1
564,1
418,0
574,1
112,1
368,0
623,1
383,1
323,1
398,1
37,1
163,1
605,0
462,1
572,0
295,1
540,0
188,0
304,0
243,1
107,1
307,1
49,0
632,0
567,1
628,0
665,1
526,1
551,1
616,0
15,1
490,1
321,1
360,1
130,0
390,1
309,1
617,0
586,1
144,0
266,1
541,1
201,0
391,1
679,1
25,1
535,0
429,1
40,1
427,1
300,1
315,1
544,1
131,0
517,0
598,1
12,1
566,0
409,1
120,1
621,0
400,0
640,1
150,1
488,1
185,1
158,1
125,1
177,0
525,1
408,1
129,1
289,0
657,1
345,0
528,0
524,1
580,1
59,1
196,0
152,1
10,1
550,1
420,1
354,1
645,1
445,1
70,1
581,1
334,0
36,1
558,1
143,1
234,0
680,1
498,0
537,1
48,0
65,1
454,0
553,1
209,1
364,1
458,1
376,1
593,1
235,0
521,0
510,1
366,1
349,1
415,0
594,1
320,1
246,0
475,1
514,1
30,1
212,1
68,1
392,0
643,1
358,1
52,1
94,0
76,1
641,0
356,1
455,1
348,0
686,1
38,0
610,1
302,1
199,1
466,0
86,0
62,1
579,1
90,1
137,1
23,1
268,1
365,0
32,1
439,1
346,0
545,1
448,1
240,0
127,1
181,0
317,0
442,1
213,1
256,1
614,1
516,0
394,0
273,0
182,1
576,0
474,1
629,1
407,0
105,0
561,1
384,0
663,0
506,0
480,0
562,1
310,1
71,0
494,1
538,0
468,1
502,1
195,1
333,1
431,1
592,1
264,1
357,1
92,1
515,0
373,0
359,1
527,0
404,1
224,1
473,1
42,1
590,1
428,0
636,1
416,0
296,0
272,1
329,1
430,0
5,0
463,1
529,0
138,1
263,0
232,1
297,1
432,0
595,1
275,1
153,1
618,1
255,1
389,0
378,0
370,0
421,1
22,1
73,1
247,1
425,1
314,1
380,1
530,1
8,1
66,0
34,1
171,0
560,0
303,1
205,1
423,0
601,1
347,0
298,1
339,1
230,0
114,1
0,1
187,1
492,1
109,1
470,1
403,1
133,0
80,1
451,1
611,1
35,1
269,1
279,1
46,0
311,0
29,1
471,1
251,1
231,1
435,1
53,1
523,0
362,0
367,1
669,1
361,0
257,1
447,1
239,1
74,1
341,1
31,0
111,1
504,1
328,1
170,0
479,1
547,1
306,0
43,1
687,0
193,1
554,0
282,1
154,1
7,0
461,0
337,1
26,1
600,0
637,1
132,1
372,1
186,1
215,0
13,1
513,0
115,1
325,1
377,1
635,1
96,0
219,1
39,0
452,0
426,1
472,1
382,1
606,1
99,0
61,0
237,0
519,0
405,0
274,1
503,1
78,1
424,1
647,1
228,1
332,1
173,1
81,0
467,1
589,1
433,1
599,1
410,1
469,0
401,1
667,0
583,1
180,1
683,0
584,1
495,0
27,1
419,0
95,1
507,1
411,0
157,1
305,1
481,1
216,1
539,1
124,0
208,1
288,1
207,0
342,0
476,1
113,0
89,1
204,0
155,1
604,0
44,1
41,1
505,1
485,1
136,1
233,1
60,1
638,1
135,0
253,1
197,1
178,1
689,1
324,1
557,1
262,0
175,1
98,0
9,0
465,1
169,1
441,1
648,1
142,1
164,1
500,1
100,0
326,1
344,1
684,1
585,1
312,1
436,1
496,1
122,0
607,1
571,1
75,1
117,1
659,1
414,0
352,1
19,0
103,1
161,0
236,0
646,0
1,0
118,1
478,0
162,1
453,1
487,1
218,1
437,1
261,1
379,1
399,0
318,0
477,0
385,1
87,0
548,0
55,1
147,0
286,1
577,0
146,1
591,1
278,1
287,1
675,1
563,1
330,0
313,0
542,1
16,1
608,0
678,1
587,0
248,1
681,1
139,0
350,0
609,1
668,0
493,0
438,1
249,1
203,0
533,1
271,1
51,1
67,1
388,1
160,1
536,1
568,0
168,1
